Son of the Mask,Platypuschow,23 September 2018,Son of the Mask: O....M....G!,Son of the Mask is one of those sequels that simply shouldn't have happened and now after watching I can claim it's a contender for the worst one of the bunch.But no wait there is more this isn't just bad it's THAT bad.It currently sits as the 10th worst movie ever made on IMDB which is an impressive feat. Ontop of that it's the winner of such prestigious awards as Worst Picture Worst Director Worst Actor Most Intrusive Musical Score Foulest Family Film Most Painfully Unfunny Comedy and Least "Special" Special Effects.Starring Jamie Kennedy Traylor Howard Alan Cumming and a small role for Kal Penn it tells another story of the infamous Mask and it is beyond belief.Full of dire cgi painfully unfunny "comedy" purile writing and legitimately no redeeming features I can't believe that such a brilliant classic comedy like The Mask (1994) could be insulted to this degree with a sequel.It's just SO cringe inducing! The jokes are too immature even for Saturday morning cartoons. The cartoon violence doesn't translate very well at all and some of it seems distasteful especially for a family film. And for 84 million dollars it looks like warmed up dog poop.Seriously everything people say about this film is true. I'm not one to jump aboard bandwagons and hate things because its "Trendy" to nor do I give 1/10's out often but this is awful!The Good:Traylor HowardThe Bad:Poor cgiBeyond dumbThings I Learnt From This Movie:In movies reducing women down to their bras is funny and comedic I do it and I get arrested!?How could a plot including repeated attempts on a babies life not be considered funny? Shocking!Children being stolen by norse gods isn't even remotely shocking to some parentsOdin is a WWE champion,1
Son of the Mask,baileycrawly,12 February 2020,Wow.,Jim Carrey is resistant to sequels. We've known this for years. Back when Son of the Mask first came out Jim had only done one sequel (Ace Ventura) that soured his entire outlook on sequels. Not that he was asked to take part in this in the first place anyway. What's really interesting about this movie is the fact that The Mask is a totally different character depending on who wears it... and yet everyone who wears the mask in this movie (including the dog) are just absolutely wrong in their portrayals. The comedy is flat the acting is laughable the attempt to redo a Cuban Pete-style musical number was cringe-inducing at the absolute best and the movie drones on and on and on. In terms of sequels this is among the worst.,1
Son of the Mask,flashbeagle,21 February 2005,p-a-r-t-y. Why? no seriously....why was this movie made?,Eleven years ago Stanley Ipkiss released his true inner self and became the hero of Edge City by finding and wearing the Norse god of mischief Loki's mask. The Mask helped bring Jim Carrey to the forefront of comedy and reached a very popular status for its originality and just pure fun. Everyone knew how to spell party. P-A-R-T-Y. Why? Cuz I gotta! Now eleven years later it seems to me that the same philosophy has been applied to the new movie "Son of the Mask." Someone asked director Lawrence Guterman why are you making this? And he responds "Cuz I gotta!" Unfortunately that answer doesn't cover it because after seeing Son of the Mask I still left the theatre thinking "Good Lord Why?" Guterman and the rest of the people involved in the blasphemous film need to realize that the response given to why are you making this film should not be as simple as the answer to the debate on whether or not to party.The Son of the Mask begins with Otis the dog finding the infamous mask and bringing it back to his owner Tim Avery a clear homage to legendary Loony Toons creator Tex Avery. Tim played by Jamie Kennedy is a struggling animator who is stuck working as a turtle tour guide for the animation company he aspires to one-day draw for. On the night of the company Halloween party Tim puts on the mask and transforms into the mischievous insane character that we all expect. After the party Tim goes home mask still on and conceives a child with his wife. Nine months later mayhem ensues as the baby born of the mask has remarkable cartoonish powers. Otis the dog jealous of the baby's attention puts on the mask and partakes in Tom and Jerry type mayhem to out the baby. Meanwhile Loki played by Alan Cumming is in search for his mask at the orders of his father Odin.First off ill admit that I do respect the fact that this film pays so much homage to the classic cartoons such as Tom and Jerry and Loony Toons with its Wile E. Coyote type contraptions and the infamous dancing frog type plot. However this reverence cannot save the film and makes it less respectful and more of a waste of time.The premise of the movie becomes increasingly silly. Silly is not always a bad thing but in this movie the silliness gets to the point of just plain annoying. The characters are not fun to watch and what's worse they're not funny. The dullness of the characters can also be attributed to the fact that so much CGI was used. One of the greatest things about the original is that while obviously computer animation was used so much relied on Jim Carrey and his exuberant style of just being. Jim Carrey we were convinced was an actual cartoon. Jamie Kennedy just doesn't have that kind of ability a fact that is clear when you watch him wear the mask and his facial features rarely shift. The baby and dog were mostly completely animated which became increasingly distracting throughout the movie. The side story of Loki searching for the mask just became more and more stupefying.The son of the Mask is a sad sad state of affairs. What I suggest is you go rent or buy the original the Mask and thank the Norse gods or whoever for bringing it to us. And will consider seeing the sequel my sacrifice as I continue to ask the infamous question "WHY?" The son of the Mask gets one star although that star should be divvied up between the classic creators of Loony Toons and Jim Carrey who will always be in my book the mask.,1
Son of the Mask,kc_220692,14 February 2005,This film spoils the classic's image of the 'The Mask',This film has made e mad. I believe the original of this film 'The Mask' was an awesome film worth buying and watching a lot. I strongly believed that they should make a sequel but when i saw this i thought again.This film has spoilt the whole idea of 'The Mask'. Mask mode? A baby flying around in a room? My little brother who is seven didn't even laugh and he is into these childish movies but this was worse. A load of crap!! I am telling you now please do not watch this film it is a waste of money and a waste of time. Instead you could actually be having fun! Watch 'The Mask' but do not I repeat do NOT watch this hunk of junk. Thank you.,1
Son of the Mask,dataphasia,19 February 2005,Terrible awful extremely bad horrible etc etc....,Mr. Kennedy should stop ExPeRiMeNtIng with bad movie scripts. What WAS he thinking? This is a movie that should not have passed the "hey I've got an idea let's make a sequel" stage of inception. If there was a ZERO rating I'd give it but I guess I'll settle for a generous 1. It seems these days that if there is a buck to be made movie execs will dig up an old hit and run it by a set of writers and see what turns up. (Hey I said "hit and run"! Kinda describes how I felt when this movie ended!) How THIS piece of trash ever saw the light of day is beyond me. It is filled with unpleasant humor strange animation and jokes that don't quite take you anywhere besides a state of confusion. If you are being dragged to this movie and someone is paying for you....fine.... but its still going to be more painful than a brick in the forehead. However if you're planning on paying your own hard-earned money search out a better alternative.,1
Son of the Mask,SONNYK_USA,11 February 2005,Why isn't this direct-to-DVD???,IS there any reason to revive characters 10 years after the fact when the only reason they worked the first time was due to the actors playing them.Who can replace Jim Carrey or Cameron Diaz -- or better yet who can replace them at cut-rate prices since most studios know that sequels don't bring in the same amount of revenue as the originals so they cut corners from the get-go.Where are the good movies going to play if powerful Hollywood studios can clog up 3000 theaters opening weekend with whatever turds they feel like the general public can be suckered into.Enough's enough people this sequel-itis has got to stop and the Hollywood people need to start getting their act together or start distributing the much-better foreign product that's floating in limbo.Wake up Hollywood cause the people HAVE woken up and they aren't buying it just cause it's new and shiny. Give us the good stuff and send the rest to the DVD shelves cause we are taking back the theaters once and for all!!!,1
Son of the Mask,Java_Joe,8 June 2019,What were they thinking?,"The Mask" took a gory and violent comic book and turned it into a funny and PG-13 comedy. It starred rubber faced Jim Carrey as an introverted bank employee that becomes a wild man with fantastic powers when he puts on the titular mask. He gets the girl shows that he doesn't need the mask to be successful and roll credits. The movie was very popular it did what it set out to do like bring a Tex Avery cartoon to life and made a lot of money. To this day it's still considered some of Jim Carrey's best work. So obviously there was a call to make a sequel to this. It bounced around a lot in Hollywood and Jim even turned down a $10 million paycheck because he didn't want to do a sequel to his work.So a couple years later they announced that they were making a sequel starring nobody that was in the original movie. This time instead of the wild and crazy Jim Carrey they instead cast the relatively unfunny Jamie Kennedy. And it's like they took all the likability out of the movie and replaced it with really creepy CGI and jokes that didn't land properly.The story goes that the mask has floated downstream from Edge City to Fringe City and has been found by a dog that looked remarkably like the dog from the original. His owner is played by Jamie Kennedy who's an aspiring cartoonist and a total manchild. Where Jim Carrey was eccentric and charming this guy is just annoying. Well he puts on the mask becomes a green faced wild man and wows everybody at the company Halloween party. They even rip off the musical numbers from the original but where they were funny and showed off Jim's abilities this one singular one really doesn't work. Like the dog the makers seem to think that if it worked in the original it will work here. Sadly it doesn't.Up until now there could have been some decent movie to be pulled from this mess but it's called "Son of the Mask" for a reason. While wearing said mask he goes home to his wife and she winds up pregnant. The baby somehow has inherited the powers of the mask and shenanigans ensue.The mother has morning sickness but instead of vomit what comes out is bubbles. I guess that's supposed to be funny. And she gets weird cravings. Like for silly string because the baby is silly I guess. Again I guess it's supposed to be funny.The baby is born and now the movie takes a hard left turn into nightmare fuel. The baby is normal except when alone with his father and he suddenly becomes a CGI abomination. You want to talk about the uncanny valley? This kid is an uncanny black hole. He's beyond frightening but I guess he was supposed to be cute and adorable.There's a side quest as Loki the owner of the mask is trying to find his mask and it erupts into chaos as he finds the child the father and mother try to save him there's a shtick-off where Loki and Jamie fight using wacky tricks and the baby finally chooses his father because he loves him now instead of literally wanting to send him to the insane asylum.Cue the happy ending and the CGI baby winking to the camera as if to say "this isn't over".Thankfully this movie bombed at the box office and a third movie wasn't made and we never saw Jamie Kennedy in movies again.Do not see this. Sure it might entertain kids but there are better movies out there for them.,1
Son of the Mask,TheLittleSongbird,7 December 2009,The negative criticisms are right- this movie is BAD!,The original film with Jim Carrey was a clever and hilarious film with a very sophisticated and dynamic visual style. What a way to ruin such a fantastic film with such a poor sequel? It does make me sad. I will give some credit it isn't quite the worst movie I have ever seen Disaster Movie Superbabies:Baby Geniuses 2 and Home Alone 4 were worse but judging by how really poor the film is that is not saying much.Let me start by saying the script was quite terrible very clichéd and stale with nothing new to expand from its predecessor. And the direction from Laurence Guterman who also directed Cats and Dogs which is much more decent was close to incompetent. The story about the magical mask falling into the hands of a cartoonist who fathers a son is rather substandard and takes a while to get going.The special effects and animation attempts to spark some imagination but it completely lacks the visual style that made the original so endearing to look at. Intead the whole film looks cheap in comparison and looks like it was made for TV despite the valiant attempts of the animators to make it look good. The casting is uninspired to say the least. Jamie Kennedy as the cartoonist lacks charisma and I will say I found the baby really creepy. Alan Cumming is a very talented actor and has been in some great films namely the wonderful 1994 version of Black Beauty where his voice over of the beloved horse was note perfect. Here he can't do anything with his villainous role which is so badly underwritten it's not hard to see why. And how Bob Hoskins got dragged into this I shall never know.All in all I can see why people say this movie is bad it is. Not just because it is not a true sequel but also it is substandard in comparison to its much superior predecessor in terms of sophistication and quality. Not quite the worst movie I have ever seen but it is bad! 1/10 Bethany Cox,1
Son of the Mask,lisafordeay,15 December 2015,If you loved the original film than do not watch this one,The Mask was in my opinion one of the most funniest Jim Carrey films in Carrey's career.It was over the top and downright hilarious. Rumors were going around that he was set to return and do another sequel opposite Cameron Diazbut of course it wasn't meant to be. So fast forward to 2005 and we finally got a sequel to this film but is it as good as the 1994 version? Lets find out.Jamie Kennedy plays Ted Avery a cartoonist who finds a mask near a river(as in the opening we see Loki at a museum where the mask was kept)and one night Ted decides to put it on for his work party. Of course he and his wife get it on while Ted has the mask on him and his wife is pregnant with a beautiful baby boy. But when the baby is born he of course acts odd since Ted had the mask on him and so his different compare to other kids as his all looney and quirky since his half normal and half mask. So will Loki(Alan Cunnings) find Ted and get the mask back off him.Bottom line this film was so so stupid and awful. The CGI effects were rubbishthe CGI on the baby was just plain stupidthe acting was appalling. I just wanted to give up as I couldn't deal with it anymore.Do yourselves a favour and go find Jim Carrey's version better at least that has better CGI effects and Carrey is miles better than Jamie Kennedy(from Ghost Whisper)who was just terrible.0/10Piece of crap.Alan Cunnings from The Smurfs and X Men 2 co stars as Loki and the late Bob Hospkins is in it too as Loki's father.And yes folks the guy that voices the tortoise in The Swan Princess Steve Wright is also in this film.,1
Son of the Mask,planktonrules,31 January 2010,Yes it's bad....but not bad enough to deserve to be in IMDb's Bottom 100--maybe the Bottom 500 (if there was one),This is one of those Hollywood projects that makes you wonder why they even made the film in the first place. After all to anyone hearing the plot they'd know that the film was destined to bomb--yet some lunkheads approved the picture. And while they saved a huge amount of money by not getting Jim Carey for this sequel it's obvious that the budget was NOT small when you look at the amazing sets and see the excellent special effects. Yet oddly despite all this money being spent the fundamental story idea was so stupid and the writing so amateurish that it couldn't help but bomb...and thankfully it did...otherwise they might have made more sequels!!! This is a bad film--there is no doubt about this. However I object to it being on the IMDb Bottom 100 list as it's not THAT bad. Only the very worst of the worst deserve to be on the list--yet I notice such horrendous films as those of Ed Wood Arch Hall Al Adamson or William Grefe are not on the list! I guess it's because not as many people have seen these films and many DID see "Son of the Mask" due to its huge publicity campaign and massive DVD saturation.In addition you can't help but admire the special effects as well as the sets. In particular I loved the sets--which were very surreal and cartoon-like. I can't see giving such a beautiful looking film a 1---it deserves at least another point or two for effects and sets.As for the story it's just plain stupid and wastes the talents of Alan Cumming and Bob Hoskins. Plus odd for a comedy the film hasn't got a single laugh--not even one. In fact some of the 'jokes' are downright repellent--such as the baby peeing copiously on the father as well as the snot joke--which both managed to be unfunny AND gross.While I could go on to discuss the plot I won't...as simply put no one could possibly care. It's dumb and not worth your trouble. An incredibly limp unfunny and stupid film...with nice sets. Even smaller children will find all this very tedious and boring. Only for bad movie fans who want to marvel at the film's awfulness.,2
