Speed 2: Cruise Control,Rob_Taylor,7 April 2003,Speed 2: Snooze control,Now I liked Sandra Bullock in the original Speed. I even liked her in that film where she went into a beauty pageant. But in this monstrosity I just wanted to slap her repeatedly and say "What are you doing!?"She is just dire. Not in acting (well... any more than usual anyway) but just in the way her character made you want to shake her until she regained some sense. Whoever was responsible for the script needs a good beating here. Unless I am completely mistaken her character between the events of the first film and this one turned into a complete and total airhead bimbo.Add in Jason Patric (who will never be leading man material) and it seems that only Willem Dafoe was having any fun. Truly awful!But it is good to see that ocean liners which may have to weather tropical storms apparently have windows made of glass so easy to break that anyone can hurl themselves through them on a whim. Priceless cinema.Avoid this one if you liked the original.Avoid this one if you expect a thrilling sea drama.Avoid this one if you like Sandra Bullock.Avoid this one if....well....just avoid it.,3
Speed 2: Cruise Control,Smells_Like_Cheese,2 March 2007,You'll know why Keanu turned down this crummy sequel when you see it,I was so curious as to what they would do in the sequel of Speed I just watched Speed today and absolutely loved it! So I can understand why Keanu turned down the movie first off not only the script was bad but the coincidences were beyond ridiculous of Sandra Bullock being in the same position twice and Jason Patrick?! He was so scared of doing a great movie like The Lost Boys but yet he couldn't hesitate to do this movie? The movie just lost it's course and didn't work on any level if it had different characters maybe but these great actors should know better and check twice before signing onto these sequels.Annie is with this new policeman Alex and he surprises her with cruise tickets. He is planning on asking her to marry him but that is shortly interrupted when Willaim Defoe is now the super duper bad guy. He is upset that he designed the ships computer system but gets no credit so guess what? He decides the best way to avenge this is to blow it up! But with Alex on board... yup... you guessed it he's gonna stop William and save the day! Good for him!Speed 2: Cruise Control was just a money maker that is truly a fake movie that was really sad. The acting was really bad and Sandra's character went from admirable to just plain annoying. Alex had no character or any sympathy. The explosions were lame and the plot was just beyond unbelievable poor William he was probably on medication when he said yes to making this movie. Well just please stay away from this movie it'll be a waste of your time.2/10,2
Speed 2: Cruise Control,planktonrules,17 November 2019,This is all you get when you spend $120000000 to make a film?!,"Speed" was a surprise hit movie. While it cost about $30000000 to make it made back more than four times the cost. So some Hollywood executives (with a collective IQ similar to that of a gerbil) thought...'if we do a sequel we must spend $120000000 on it because THAT is why the first movie was such a success'. Not surprisingly the movie tanked and it somehow has made it to IMDB's infamous Bottom 100 list--the 100 worst ranked major releases of all time.In the original Keanu Reeves and Sandra Bullock work to prevent a bus from exploding and killing folks. Now because this is an overbloated sequel they've placed the story aboard a cruise ship...which is also out of control and will kill everyone unless our heroes save it....though this time Reeves refused to reprise his role. So they cast the rather bland Jason Patric in the lead...who offered little improvement other than he was very good at using sign language in one small scene.How bad is this film? Well not bad enough to be on the Bottom 100 list. So why is it on the list? After loving the first film so many folks expected more of the same...and got nothing but a dull overblown action picture with little in the way to interest viewers....and I think THAT is why it made the list....because it disappointed so badly. Instead I wish IMDB had a list for films with the worst ratio of cost to enjoyability of the film...in which case "Speed 2" would easily make the top 100.By the way this sequel ended up spending nearly as much for ONE crash scene as the budget for all of "Speed"! And after paying $11500000 just to obtain Sandra Bullock for this film you can only assume that the film simply had nothing left to pay competent writers. Instead I assume they hired some penguins to write the script....some very very dull and untalented penguins!,3
Speed 2: Cruise Control,chrisbrown6453,19 June 2002,Everyone to the lifeboats! Women children and paying moviegoers first.,Let the screenwriters and director go down with the ship I say. As the sun sets slowly in the West Speed 2: Cruise Control sinks without a trace. The sequel to 1995's surprise drive-a-bus hit has barely caused a ripple at the box office. The threadbare script is mostly to blame. It consists almost entirely of simplistic exclamation-point dialogue like "We're gonna crash!" "We're going too fast!" "Do something!" "This isn't happening!" "We gotta get him outta here!" "There's not much time left!" and the ever useful "Oh s**t!"There is indeed not much time left for characterization or interpersonal drama. Speed 2 gets off to a winky-dinky start with Sandra Bullock taking yet another disastrous driving test. Bullock's natural charm can go only so far however and you keep wanting to throw her a life preserver or a new script. As people drop dead around her she must continue to whine about the ruination of her vacation. Bullock doesn't get a lot of help from blandish co-star Jason Patric who plays her cop boyfriend. The nasty computer-literate villain who likes to attach blood-sucking leeches to his body is certainly quirky. Willem Dafoe who's pretty quirky himself does what he can with the overriding vagaries of his character's mad-bomber motivation. The action bits are fairly frequent but seem anemic when compared to what else is available to fans of such. Director Jan De Bont fared much better in 1996 with the flying cows and funnel clouds of Twister. Speed 2 ends up with some highly anticipated destruction as the cruise ship plows into the island of St. Martin. No matter as I hear the whole thing was computer-generated anyway. This cruise is no carnival and could have used a cameo by Kathie Lee. Would loved to have seen Dafoe slap her around a bit.,3
Speed 2: Cruise Control,DoctorSkyTower,29 July 1999,A MISERABLE EXPERIENCE....,After seeing THE best action movie ever (Speed) I went to this expecting more of the same awesome action.Instead I was physically sea sick! Sat through the entire thing feeling like I was at sea in a teacup (in the middle of a cyclone) made worse by the terrible acting (even Temuera Morrison wasn't up to par in this) and lame 'action scenes'. The baddie wasn't bad enough his reasons for hijacking the ship was just plain dumb and Keanu Reeves where the heck was he?This whole flick was over-the-top-bad trying waaaaay too hard to equal Speed One. But putting all the action on a cruise ship - a SMALL cruise ship at that? There was twice as much action in the elevator scene at the beginning of Speed One!I found the gigantic tanker explosion the ship crashing through the dock at the end TOO long and boring. By this time however the sea sickness had subsided (probably because the ship had already landed!) The ending would've been easier to bare if the characters hadn't said such dumb cliches....I think I should've stayed at home....,1
Speed 2: Cruise Control,au_law2001,15 January 2005,Speed 2 Lost Control,Nah it just isn't worth watching or renting why? Well let's just say it didn't live up to the first one. It wasn't very fast paced or exciting it was very predictable. And it's mostly them on the boat trying to get everyone out because it is out of control. It lost most of the elements the first one had. It didn't have the 'speed' theme it was mostly a boat out of control how? Someone just hacked it and there it went it wasn't on the threat of terrorists there wasn't the threat of a bomb explosion and it wasn't even sinking. Where's the excitement? The movie doesn't even deserve to be called 'Speed' because there was nothing about 'speed' in it sure it had Sandra Bullock in it but Keanu Reeves was missing in it. If you want to see a film about a boat out of control just watch Titanic.,2
Speed 2: Cruise Control,Coxer99,27 June 1999,Speed 2: Cruise Control,Sad sequel to the early 90's hit with Bullock and Patrick playing a vacationing couple who save the day when a madman (overbearing and overacting Willem Dafoe) commandeers their cruise ship. Director Jan DeBont still pours energy into the effects but the story and performances lack that polish and care.,1
Speed 2: Cruise Control,capricornius,18 June 2018,Not a bad movie.,I hear a lot of people say that this is a bad movie. I honestly don't think it's that bad. Alright alright Dennis Hopper in the first movie was just the right type of villain the kind you really hate Willem Dafoe is certainly a great villain too. His facial expressions are just great and typical for a villain he's just so creepy.If you're looking for that once-in-a-decade A+ masterpiece this movie is not for you. But if you're looking for a movie to watch when there's nothing on TV then this is a great choice. Obviously it's not greatest movie ever made but I've seen much worse.I'd give it a rating of 60% or 6/10,6
Speed 2: Cruise Control,lambaldy,6 June 2004,A big boat full of crap,Speed. the first movie wasn't that bad and so the other day I decided to watch speed 2 which appeared on television here. (god knows why) After 2 minutes I realized why Keanu didn't accept the role for this second part. The entire movie is filled with extremely bad timed jokes and unrealism beyond recognition... The killer being sandra bullock chainsawing open a fire door with people trapped behind that door (as if there wouldn't be an emergency handle and what the **** is a chainsaw doing near the cabins?!?) After completing this task sandra keeps the chainsaw in the opening she just made. the people look at her and say she has to get out of the way with the chainsaw. she looks back doesn't respond. They have to ask AGAIN and then she's all like: "oh oh oh yeah yeah yeah yeah sorry sorry sorry." taking another 5 minutes to apologize before she finally removes the roaring blade....another great feature about this movie is the fact that people have to die 4 times before actually dying or other impossible things that somehow the actors can make possible with their magic wand or something. a nice example: **** SPOILER **** The bad guy (i didn't even bother remembering his name) is flying one of those water planes. He isn't really paying attention as he flies over an oil tanker and hits the mast with a speed over 50 mph at minimum... Instead of crashing down or getting hit off course nooo... the plane instantly stops and gets stuck at the top of the mast. The bad guy naturally hasn't a scratch. Then suddenly the plane decides to explode taking the entire oil tanker with it. Of course there couldn't be any safety measures on board since oil isn't flammable at all.anyway my conclusion is that speed 2 is a blown up piece of poo and should have never been made. this is one of those movies just to get people in the seats leaving them to die of boredom in the theatre. (and was probably a career killer for sandra bullock too....),1
Speed 2: Cruise Control,Boyo-2,2 September 1998,Pitiful,I can't believe adults were responsible for this movie it is so utterly stupid that the it seems like the patients escaped and decided to make a movie and call it "Speed 2". Completely horrible from beginning to end as obvious as the sky and boring. Poor Willem Dafoe...well at least there won't be a third "Speed". I thought the original was totally overrated also.,1
Speed 2: Cruise Control,slightlymad22,2 March 2015,Not As Bad As Some Reviews,I'll admit from the off that I am bias. I love Sandra Bullock. With her gorgeous girl next door looks I adore her and will usually give anything she is in a chance. Hence I recently watched the universally panned "Speed 2"Plot In A Paragraph: Annie (Sandra Bullock) and her new beau Alex (Jason Patrick who I last saw in "Lost Boys") are taking a vacation in the Caribbean aboard a luxury cruise ship which is hijacked by a villain (Willem Defoe) who hacked into the ship's computer system. As they are trapped aboard the ship Annie and Alex work with the ship's first officer (The guy who plays Jango Fett in Star Wars) to try to stop the ship which they discover is programmed to crash into an oil tanker.OK is it as bad as people say?? No it's far from it. It just doesn't live up to the first movie. A lot of sequels suffer from that problem. Had this movie just being called "Cruise Control" and references to the first movie dropped it may have done better. To put it simply this is just another routine action movie.The film's final scene where the ship crashes into the island of Saint Martin cost $25 million of the film's $160 million budget (which is more than the entire production budget of the first film)As for Sandra Bullock (who agreed to star in this film in order to get financing for her pet project Hope Floats) she remains one of the most talented and beautiful women in movies and her ladylike sexiness is in rare supply. Any movie becomes promising just by having her name in it's cast.,6
Speed 2: Cruise Control,paulclaassen,1 July 2018,One of the worst sequels.,Speed - set on a cruise ship. Yeah right!! A cruise ship is associated with slow-moving so how can it be the setting for 'Speed'? Also how could the same director of the brilliant original 'Speed' make such a mess of a film? The non-funny supposed-to-be-humorous dialogue is annoying to say the least. The result is a film that plays like a spoof and is not taken seriously nor is it funny. The film has no suspense whatsoever and also lacks on excitement. The silly dialogue - especially from Sandra Bullock's character Annie even during action sequences - is so bad it is laughable. The film also has a ridiculous plot that makes nothing believable or convincing. The 'abandon ship' procedure (and the reason therefore) is so utterly pathetic that I won't even go into it!! The ending which is supposed to be spectacular as the ship crushes everything in its way is once again marred by silly dialogue and attempts at humor that is way out of place.,1
Speed 2: Cruise Control,mjw2305,30 January 2005,Speed 2: Snooze Control,Where Speed grabs you and doesn't let you go Speed 2 fails at the first hurdle it simply doesn't have to let you go because it never grabs you.Taking the principle used in the first film simply doesn't translate to the water. The tension just isn't there anymore its that simple.Speed 2 is not worthy of carrying the title that connects it to such a good film as speed.If you've ever been tempted by this resist i implore you watch the first film again instead. This isn't worthy of your time even if it costs you nothing.3/10,3
Speed 2: Cruise Control,lasherxl,7 September 2000,What a Piece....,What more can be said than awful. Ok How about hideous disgusting vile trite pathetic and utterly contrived. The first SPEED was bad enough was there really a need for a sequel and on a cruise ship give me a freaking break. Even Keanu wouldn't star in this nightmare movie from hell that's how truly awful it was.I almost wish I could sue the film company for the hour or so I wasted by watching it when it came on cable. It was like a car accident no matter how hard I tried I couldn't look away. I practically needed a "Silkwood" shower after viewing it and my cat is still have nightmares about it he screams in his sleep now. I wish only there was a way to erase these things from my permanent memory and movie history in general.,1
Speed 2: Cruise Control,Noirdame79,15 December 2004,Seasick? You're Not The Only One!,I heard the terrible reviews for this movie but I decided to give it a try mostly because of Sandra Bullock and Jason Patric but even their on-screen chemistry could not save it. Why did they even bother to make a sequel? SPEED was a once-in-a-lifetime experience where everything magically worked. SPEED 2: CRUISE CONTROL on the other hand seemed destined for self-destruction from the minute it was put into production. I have nothing but respect and admiration for Jason Patric an intelligent underrated actor whose performances are outstanding but he is obviously so far out of his element here the viewer picks up on his disinterest and listlessness like a skin rash. What was he doing paying off a debt? Sandra Bullock is a great lady but her character is somewhat annoying here and not really given much to work with. I can see why Keanu Reeves turned this masterpiece of waste down and why both Bullock and Patric regret this project. Willem DaFoe to his credit tries hard as the villain but he is just an unintentionally comic and moronic madman and the rest of the characters are cardboard cutouts. Where's Dennis Hopper when you need him? An action-packed thriller? A love story? How about just a severe case of seasickness? Eeeeewwwwwwww . . . . . . Watch this one if you have a strong stomach are half asleep or if you need to kill time. Get out the barf bags!,1
