The Avengers,claudio_carvalho,16 February 2015,Waste of Cast and Budget,In London the agent of the Ministry John Steed (Ralph Fiennes) and Dr. Emma Peel (Uma Thurman) are summoned by the Mother (Jim Broadbent) who shows a footage where the Prospero Project that controls the weather is damaged by Dr. Peel. They head to meet Sir August de Wynter (Sean Connery) who is a weather specialist but soon they discover that he wants to rule the world using his machine that controls the weather.I saw "The Avengers" in the 90's and did not like this movie. Today I have just seen it again on DVD and I found again a silly and boring movie that wastes cast and budget. It is hard to believe that Sean Connery accepted to work in this turkey. My vote is three.Title (Brazil): "Os Vingadores" ("The Avengers"),3
The Avengers,MartinK75,31 May 2006,A wasted opportunity,Is The Avengers a good film? No. Is it the worst film ever made? No. I first saw the movie at the cinema upon its release and at that time I did think that it was one of the worst films I'd seen up to that point. I've watched it 2 or 3 times since then and my opinion of it has improved well very slightly at any rate. Apart from a pervading incoherence I think the film's major problem is its slightness; it's only an hour and a half long and the plot is very simplistic to say the least. It's not hard to imagine audiences feeling a bit short-changed when it first came out especially as the film was a big-budget would-be summer blockbuster. Another big problem is the casting of Uma Thurman as Emma Peel. Thurman has shown herself to be a fine actress in movies such as Pulp Fiction but she just looks out of her depth here (I never believed in her as a top-level scientist for a second) and her English accent doesn't sound natural. Nicole Kidman to whom the role was first offered would surely have been better in particular she's displayed flawless English accents in films such as The Others and The Hours. An English actress I also think would have made a great Peel is Joely Richardson but the studio would probably have vetoed such a choice on the grounds of her not being a big enough name. Ralph Fiennes was a real enigma in this film - there was nothing wrong in principle in casting him as Steed but he looks ill at ease throughout the movie as if he'd rather be elsewhere. I can only assume he'd already twigged that the film was going to be a turkey. What's worse Fiennes and Thurman have absolutely no chemistry between them which wastes the snappy dialogue they have with each other throughout the film. The supporting cast fare a bit better with seasoned pros such as Sean Connery Jim Broadbent and Fiona Shaw making the most of their underdeveloped parts. The retro-chic world of the original TV series is nicely recreated and there's no shortage of nice cars costumes and locations but what's good about the film is easily drowned out by what's bad; The Avengers is ultimately a shallow rushed and messy affair severely hampered by the performances of its two leads. Handled properly the film could have been a wonderful success for all concerned the first chapter of an entertaining and lucrative franchise stretching well beyond the 1990s; instead it's one of the most embarrassing flops of that decade. The original cut of the film was apparently two and a half hours long but following negative reactions from audiences at test screenings the studio hacked the film down to its present one and a half hour length. This doesn't actually come as much of a surprise as there is a lack of proper narrative flow to the film suggestive of chunks of explanatory scenes having been cut out. Just one example: towards the end of the film just before they enter Sir August's underwater lair Steed and Peel enter a phone box and Peel says "how now brown cow?" down the phone. The phrase seems to be a password to enter the premises but how does Peel know it? There's been talk here and there of the possibility of Warners releasing a director's cut or special edition DVD restoring the original two and a half hour version. I think this would be a good idea and I'd definitely be interested in watching the full version of the film. It's highly unlikely to be any kind of masterpiece but it's difficult to imagine that it wouldn't improve upon the movie as it stands. At the very least you'd have to assume that it would be more coherent. Sadly I don't think the chances of Warners going down this line are high; I have the feeling that this is a movie the studio would rather forget about than draw attention to.,3
The Avengers,Whythorne,7 March 2005,Not worth weathering,This movie based on the popular British TV series is such a flop it doesn't really deserve comment but here are a few nonetheless.This is the kind of movie making that really has you wonder if you should ever visit a theater again when you consider the waste of millions of dollars on sets special effects and high-powered actors that could have been used for such better causes (such as oh say a big-screen version of "My Mother the Car").At any rate the film got what it deserved by being universally panned by critics and bombing at the box office. It was then rushed out of theaters with the bad-film strategy that relative obscurity would result in more bread at the video stores.Considering that Ralph Fiennes (Schindler's List Englsh Patient) and Uma Thurman (Pulp Fiction etc.) were at the top of their box-office draw potential and with the addition of the always popular Sean Connery in a unique role as a villain one would think that this movie would have been a sure hit. However the potential went lightning fast down the tubes greased by a stinky script second-guessed editing and incompetent direction.The best elements of the original series namely its charm and style are absent. A lot of the charm came from the relationship between Steed and Peel. But Fiennes' Steed is aloof and Thurman's Mrs. Peel is cold as ice. The two appear to be sleepwalking through their respective roles with visions of fat paychecks dancing in their heads.Ironically an imprudent element of the TV series that was indicative of its downhill slide after the departure of Diana Rigg (the original Mrs. Peel) namely the introduction of the silly character of "Mother" IS included in the film. Go figure.Connery 's performance as a mastermind who can manipulate the world's weather falls flat. Like Fiennes and Thurman he appears to be going through the motions of a script he has no faith in.Quirky aspects of the original series that were cute and amusing have been replaced with gimmicks that are just unfunny strange and head-scratchingly bizarre. For example: the requisite cameo of an actor from the original series features only the voice of Patrick Macnee in the role of an invisible man behind a desk. What this character has to do with anything other than adding to an already disjointed script is anybody's guess.On a website competently dedicated to the series it has been speculated that the director never saw a single episode of the TV Avengers. If you were any kind of fan you will immediately observe that there is a good reason to believe this. Jeremiah Chechik's direction seems to lack any instinct for the flavor of the original series.At any rate with this brand of TV series-inspired movie making you may find yourself yearning for "Return to Gilligan's Island." Originally hyped as a summer blockbuster the cinematic version of "The Avengers" is only spectacular in its capacity to disappoint.,1
The Avengers,tramsbottom,26 May 2007,Blame Warners,I rewatched The Avengers today and it really is a missed opportunity. The reason it failed was not IMO the surreal wackiness it was that Warners panicked and cut huge chunks out of the film rendering it not only surreal and weird but missing links in the story that would have tied all the bizarre stuff together better.If you look on Wikipaedia it details what was in the original script such as the attack on the secret base by the evil Emma Peel that was seen in trailers. I also recommend reading the novelisation which you can pick up for a couple of quid. It really is absurdly stupid how Warners had judging by the book and screenplay a great film and then they decided 'instead of a long movie people might like we'll cut it down to a short movie that people will hate for sure'. They should have had the courage of their convictions and if they had The Avengers might have been a huge success. One can only hope they pull their fingers out and release the director's cut.On reflection there's a lot to like in The Avengers: Uma Thurman in leather: always a plus Sean Connery hamming it up more than Porky Pig at a bacon factory and henchmen dressed as multi-coloured teddy bears. Bonkers. Utter bonkers. I like it.,7
The Avengers,bellino-angelo2014,12 February 2019,Well it's not as bad as I assumed (and there are MUCH worse movies than this),This is among the most panned movies of all time since it was based on a TV show. And while I can understand the fans of the original TV show I still don't think that this movie is THAT bad. I would NEVER put it in the Bottom 100 as I can name many other movies that are much worse than this one (FREDDY GOT FINGERED THE CAT IN THE HAT and DISASTER MOVIE for example).In this full length version of the 1960s TV show John Steele and Emma Peel battle with a duplicate Emma Peel and Sir August de Wynter (played by Sean Connery) a mastermind that wants to rule the world with his weather-controlling machine. And while this plot could look stupid to some it certainly is! But you can't do anything but admire the extraordinary special effects as well the sets. In particular I loved the special effects (the CGI insects were cool to look at). I personally can't give a 1 to a movie with great special effects and sets it deserves at least other 4 points for the effects.As for the acting even though the movie it's bland Ralph Fiennes and Uma Thurman are good in their roles. And it was a surprise for me seeing Sean Connery in such a nasty role and Patrick Mcnee as the Invisible Jones (a small role).However while the movie is a bit bad it's watchable and far from a huge disappointment. But I am NOT saying it's great!,4
The Avengers,Xophianic,4 February 2000,Ugh...,I wasn't all that interested in watching this movie but I decided to anyway since it was one of the only ones that week there that I hadn't seen yet. I should've saw one of the others. I don't even remember what they are now but it doesn't matter. I am pretty sure that THE AVENGERS is the worst movie of the decade and one of my least favorite movies of all time.John Steed (Ralph Fiennes) and Emma Peel (Uma Thurman) team up to stop Sir August de Wynter (Sean Connery) from destroying the planet with a weather-changing machine. I won't go into the plot too deeply because it's just plain stupid.The acting in this movie was not very good. Ralph Fiennes and Fiona Shaw (Father) play two of the most annoying characters in any movies that I have ever seen. The constant unwitty one-liners between Fiennes and Thurman is very annoying. Sean Connery is at his worst here. I was disappointed in him because he is a great actor who doesn't belong in this movie. Sir August de Wynter? Just the name of the character alone should tell you much.There was however one thing that was good about this movie. That would be Uma Thurman in her tight leather. I am absolutely in love with Uma Thurman and I don't think she belonged in this film but I am pretty sure seeing her wearing those catsuits were the only thing that kept me from having to eat my own legs and drink my own urine to survive this movie.Maybe you'll think I'm exaggerating a bit but I found this movie to be boring and annoying. I recommend that it be avoided at all costs.,4
The Avengers,ShadeGrenade,5 December 2005,"How Now Brown Cow!",The 1990's saw a vogue for making motion pictures based on vintage television shows 'such as 'The Fugitive' 'Mission: Impossible' 'Sergeant Bilko' 'Lost In Space' 'The Beverly Hillbillies' and 'The Saint'. Most ( though not all ) were not terribly good for the simple reason that their makers were unable to recapture the ingredients which had made the originals so successful. A movie based on the British spy show 'The Avengers' was announced as far back as 1987 with Mel Gibson ( also said to have purchased the rights from E.M.I. ) as 'Steed'. These rumours persisted well into the 1990's when after the success of 'Basic Instinct' the role of 'Mrs.Emma Peel' was tipped to go to Sharon Stone. What sort of movie would have resulted with these leads we can only guess at but I am glad that it was never made.Jerry Weintraub a self-proclaimed fan of the show hired Don Macpherson to write a script that was true to the style of the original. It centred on a madman who has created a weather control machine and plans to use it to blackmail the world's governments into paying him for their weather or else he will condemn them to perpetual winter. It was a witty imaginative and outrageous piece of work.As 'Steed' Ralph Fiennes of 'The English Patient' was cast with Uma Thurman of 'Pulp Fiction' taking up the role of 'Emma'. Weintraub then pulled off another major casting coup - Sir Sean Connery. The former 'James Bond' was hired to play the villain necessitating a major rewrite. The character of 'Merryweather' became 'Sir August De Wynter' who lives in a mansion called 'Hallucinogen Hall' and is so fixated by Emma he clones her. In a thrilling opening the clone gains illegal access to 'The Prospero Project' which she destroys. The real Emma is naturally blamed and Mother calls on Steed to investigate.The film had a decent budget but was not on a level-playing field with say 'Star Wars' or 'Harry Potter'; nevertheless it boasts stupendous art direction cinematography by by Roger Pratt and music by Joel McNeely. Director Jeremiah Chechik skilfully recreated the look and setting of the series - Agatha Christie England - but mixed with a dose of Terry Gilliam's 'Brazil'. There is humour but not of the 'funny ha-ha' variety; for instance the scene in the conference room in which Sir August's henchmen are kitted out in teddy bear costumes. This was intended to spoof similar scenes in Bond films such as 'Thunderball'.Of the supporting cast Eileen Atkins shone as the gun-toting spinster 'Alice'. Comedian Eddie Izzard played 'Bailey' Sir August's ( mostly mute ) henchman with Jim Broadbent delightful as Steed's macaroon-munching boss 'Mother'.'The Avengers' was all set for a major launch as Warner Brothers top summer release but then disaster struck. It registered poorly with a preview audience in Arizona ( why Arizona for heaven's sake? ) causing it to be recalled for major edits. We shall probably never know the name of the man who butchered the film but I suspect his first name may have been 'Sweeney'. He took out major scenes such as the 'Prospero Project' opening and Sir August's 'Frankenstein'-like creation of 'Bad Emma'.Cut down from a two-hour running time to a paltry eighty-five minutes 'The Avengers' opened ( rather aptly ) in August to a universal drubbing from critics and public alike. The overkill of bad reviews was enough to destroy any chance the film had of becoming a hit.While the film had its flaws it certainly did not deserve the opprobrium heaped upon it on its release. Yes Fiennes and Thurman were not Macnee and Rigg nor were they intended to be. This was a NEW 'Avengers' intended to be a film for the twenty-first century.Years after its release the movie has a fan base whose main aim is to see the original restored. Its worth remembering that Ridley Scott's 'Blade Runner' was regarded as a boring flop in 1982 now is thought of as a sci-fi classic. I hope that someday 'The Avengers' can pull off the similar feat of being regarded in a whole new light.,10
The Avengers,maltcavet,23 December 2004,Please!,I love the Avengers. Emma Peel was a hero of my childhood. I was ridiculously excited for the arrival of this film and had nauseated all my friends when the project was first announced about who was to be our two spies. I was thrilled with the selection of Fiennes -- but Thurman? I was hesitant. Then Diana Rigg passed on being in the film. Another bad sign. Then the television trailers yet a third omen but I told myself the movie could not possibly be that bad. IT was worse than my wildest nightmares -- and I have an excellent imagination. Thurman was as bad as I thought Fiennes had nothing to play to. Macnee oh how it could have improved if we'd seen him. I think this movie is terrible because they didn't get the joke. The Avengers is cheeky campy fun and never without some form of the double entendre somewhere. Apparently the script writes never actually saw the series and didn't get the joke. I beg some British filmmaker somewhere give it a chance. Make your own version. Give some dignity back.,1
The Avengers,bowmanblue,21 February 2020,The 90's mightiest heroes,I guess there are two ways of looking at 1998's 'The Avengers' film (and yes it has NOTHING to do with the Marval brand that would dominate the Box Office a decade later). You can either believe everything you've heard about it or just keep an open mind and go with the flow.It's a remake of a British 1960s spy show about a male and female secret agent generally saving the world with gadgets and an assortment of witty quips. The studio had high hopes for the big budget adaptation and cast two major stars (Ralph Fiennes and Uma Thurman) in the lead. However close to release it became clear (from 'critics' anyway) that the movie wasn't that good and its release date got put forward while they did reshoots or re-edits etc trimming the run-time dramatically. When it did hit theatres basically everyone hated it claiming it was a 'mess' and it now lives on only in top ten lists of movies that bombed hard.Yet saying all that I quite enjoyed it. I enjoyed it then and I enjoy watching it on DVD every so often. No I'm not saying it's perfect (or even that good!) but I'm saying there's enough there to keep me entertained for an hour and a half.For a start there's Sean Connery as the bad guy who's threatening to control the world's weather and force countries to 'purchase' their weather directly from him. Therefore Fiennes and Thurman must stop him. Yes it's kind of like a Bond film plot and you can expect the regular punch-ups and car chases that come with the genre.What you also get are some truly surreal scenes which don't make a lot of sense. Now these could be written just to add to the film's 'kooky' feel or it could be because the other scenes that explain them were left on the cutting room floor therefore leaving these scenes' meaning up to our imagination.People also remarked on 'how little chemistry' there was between Fiennes and Thurman. I can see their point. However it's worth noting that they were supposed to be playing cold and unflappable characters lifted from yesteryear when this kind of acting/social interaction was more common. It's a case where the film tried to copy the source material and succeeded - only a little too well for its own good.Like I say 'The Avengers' is just about as far from perfect as you'll ever get but it's not the car crash you've probably heard it is. And if you're in the mood for a spy movie that's a little bit different and has a mute Eddie Izzard a gun-totting Granny and a swarm of robot bees then give this one a go. And I didn't even mentioned the giant teddy bear costumes.,7
The Avengers,petra_ste,2 October 2014,The winter of our discontent,How do you make Sean Connery seem uncharismatic Ralph Fiennes uninteresting and Uma Thurman unsexy? No small feat but in 1998 Jeremiah S. Chechik performed this dark achievement with his version of the classic British TV series - the one older viewers remember mostly for the gorgeous Diana Rigg.An ugly movie with terrible visual effects a worthless script and no sense of fun The Avengers is worth mentioning as a curiosity since it's arguably the worst project in the careers of all three leads - and when you are worse than stuff like The League of The Extraordinary Gentlemen Maid in Manhattan and Percy Jackson you know you are sinking in deep murky waters.35/10,3
