The Wicker Man,Ali_John_Catterall,1 September 2006,The True Nature of Sacrifice,Prior to this release Neil LaBute had this to say about the 1973 original: "It's surprising how many people say it's their favorite soundtrack. I'm like come on! You may not like the new one but if that's your favorite soundtrack I don't know if I *want* you to like my film."Neil a word. You might want to sit down for this too; as Lord Summerisle says shocks are so much better absorbed with the knees bent. See Neil the thing about the original is that Paul Giovanni's soundtrack is one of the most celebrated things about it. The filmmakers themselves consider it a virtual musical. Along with Richard and Danny Thompson and Bert Jansch it practically kick-started the 1970s Folk New Wave. To undermine it is akin to imagining Jaws without John Williams. Or The Buddy Holly Story without Buddy Holly. The result's one of the most breathtakingly arrogant pointless remake of a British cult classic since Sly Stallone's Get Carter.The original had apparently left Nicolas Cage "disturbed for about two weeks." So disturbed during that fortnight's window that he pitched the idea of re-imagining one of the most nuanced films about inter-faith struggle ever devised to a writer-director previously known for his wholly unsubtle depictions of male chauvinism. It's like some parlor game: what would you get if Sam Peckinpah took on Bambi? Or Gaspar "Irreversible" Noe remade Love Actually?(Actually I'd quite like to see that). Unfortunately someone took this parlor game seriously: All LaBute's succeeded in doing is ripping out the original's guts while saddling it with his own gormless Sex War preoccupations.After failing to rescue a little girl and her mum from a fatal car crash Cage's highway patrolman spirals into a medicated torpor. Then he receives a letter from ex-fiancée Willow Woodward (this one trades on name-homages for kudos) now living on the private island community of Summersisle � that extra 's' stands for 'superfluous' � and wants Edward to help locate missing daughter Rowan.Summersisle it transpires is a female-dominated joint conceived as a haven for oppressed womenfolk and refugees from the Salem witch trials. Here the matriarchs observe the Olde ways and the few males are near-mute breed-mules. It's like Lilith Fair on a grand scale. Summersisle's main export is honey � a symbolic and literal headache for Edward as he's allergic to bees. "Beekeepers!" cries Edward. "They seem to be everywhere on this island!" Well that's probably because Summersisle's main export is honey.While making his investigations Edward overhears of an oncoming Mayday ritual called "the time of death and rebirth". He discovers the previous year's crop failed; nearly dies from bee stings; and eventually comes to the conclusion (a conclusion which admittedly couldn't be more obvious if the locals had tattooed a timetable of events on the back of his hands) that Rowan will be burnt alive in a pagan rite to ensure a bountiful harvest. He also meets the Queen Bee of the hive Sister Summersisle (Burstyn) who has her own plans for him involving the eponymous Wicker Man: "The drone must die."First the good news: any concerns Cage would be airlifted from the Wicker Man's flaming jaws at the last minute by a fleet of black CIA helicopters can be laid to rest: he toast. That's about it for the good news. "This is a story whose chapters were carefully written" intones Burstyn with sublime irony. Though retaining the basic cat-and-mouse premise (and credits typography) what's left subjects the original to a scorched-earth policy.Crucial to Shaffer's original screenplay was that his Christian copper in accordance with ritual came to the island of his own free will � and most importantly was a virgin; the perfect sacrifice. In reducing matters to a sexual as opposed to a religious power-struggle LaBute presents the flimsiest of qualifiers for a harvest sacrifice. By the time Cage has worked out he was the bait you honestly couldn't care less.And Cage is one of the very worst things in this; a lumbering drawling donkey � an arsewit whose tongue seems just slightly too big for his mouth. "Goddamit" he moans after he hallucinates a drowned Rowan with all the mental torment of a man who's set his morning alarm clock half-an-hour too early. One hopes it's his character's frequent reliance on pills that has reduced him to this state � alternately fatigued then full of preppy overbearing vim. If so it's a fine portrayal of an undistinguished IQ addled with anti-depressants. If not�it doesn't bear thinking about. As Willow the saucer-eyed Beahan is similarly dreadful presenting her lines as if in competition with Cage for the�most�half-hearted�delivery. While Burstyn entirely lacks the mercurial menace to convince. Who's afraid of Naomi Wolf?Every element that made the original great � the lovingly detailed depictions of folk customs the ingenious score the dialogue (Lord Summerisle's majestic "You did it beautifully!" has been replaced with the rather less attractive "You did it excellently!" Whoah dude!) � have been substituted for a meandering battle-of-the-sexes thriller with occasional crash-bang wallop. Namely walloping women; this is a LaBute flick after all. Cage's Sister Beech bashing is just one of the more embarrassing episodes; impotent little men will be hooting with glee at how them uppity hippie chicks finally got what was comin' to 'em hyuk hyuk.The closing coda sees the whole rotten mess collapsing under the weight of genre cliché: in a bar two guys run into a couple of Summersisle maidens on shore leave flirty-fishing for fresh martyrs. At the moment of their successful pick-up you half expect the women to turn round and give an exaggerated wink and a thumbs up to the camera.One more thing: keen credit watchers may have noticed that films sporting an unusually high producer count (anything up to 10) tend to be Not Much Cop. The Wicker Man has 18 producers in total.,1
The Wicker Man,Clive_W,17 June 2019,Haha,This film is so bad I had to question why the wicker man was re-made and Nic your better than this.... still if you want some cheesy film then enjoy I've watched it a couple times when I want something terrible to watch it is a Guilty pleasure haha. Also just FYI check out Chris hilarious reviews on YouTube that guy summed up my feeling on this film. But if you did enjoy this film on a serious note and not like me that enjoyed it for the joke factor then I take my hat off to you.,1
The Wicker Man,Derek237,9 July 2007,Five reasons to watch The Wicker Man,The Wicker Man starring Nicolas Cage is by no means a good movie but I can't really say it's one I regret watching. I could go on and on about the negative aspects of the movie like the terrible acting and the lengthy scenes where Cage is looking for the girl has a hallucination followed by another hallucination followed by a dream sequence- with a hallucination etc. but it's just not worth dwelling on when it comes to a movie like this. Instead here's five reasons why you SHOULD watch The Wicker Man even though it's bad:5. It's hard to deny that it has some genuinely creepy ideas to it the only problem is in its cheesy unintentionally funny execution. If nothing else this is a movie that may inspire you to see the original 1973 film or even read the short story on which it is based.4. For a cheesy horror/thriller it is really aesthetically pleasing. It's pretty obvious that it was filmed on location instead of using green screen or elaborate sets so we get to see some very great scenery. There are also many nicely composed shots. It is a very good looking movie.3. Nicolas Cage is not so much an actor as he is a force of nature. Whether you're a fan of his or not it seems as if it's impossible for Cage to play a "normal guy". There is always some kind of eccentricity or nerdiness he brings to the characters he plays and personally I am always fascinated by watching him in any movie he does. Whether Nicolas Cage is great or terrible he always brings his unique energy into play and he is never boring to watch. He is terrible in The Wicker Man but in the most wonderful kind of way.2. A student could probably write a hell of a paper on this movie as it seems to be the strongest anti-feminist movie ever made. "See?" you could write "this is what happens when women are allowed to run a society!" Also the similarities between this "Summersisle" society and a bee colony are pretty interesting and worth noting.1. If you're reading this there's probably a good chance you may have seen a YouTube video that has become very popular: a collection of "highlights" from the movie including Cage running around in a bear suit and of course the infamous "AAGHH!! THE BEES!! MY EYES!!!" line. These scenes are hilarious out of context and they are still fairly funny while watching them in the film's entirety.I bought the used DVD at Blockbuster for about 5 dollars...when you work that out it's about a dollar per reason. It's a pretty good deal.NOTE: The Unrated version of the movie is the best to watch and it's better to watch the Theatrical version just for its little added on epilogue which features a cameo from James Franco.,4
The Wicker Man,AdrenalinDragon,6 May 2010,A "Classic" for the wrong reasons!,As a horror movie its a 1 out of 10 but as a Comedy its at least an 8 out of 10. Nicolas Cage's character had me in stitches in so many places because his acting in this movie is SO bad its hilarious! The last 30 minutes of the movie is pure gold! He punches women constantly can't figure out people are lying to him threatens kids attacks in a bear suit and has so many unintentionally funny one-liner quotes its just ridiculous such as "HOWDIDITGETBURNED" "NO! NOT THE BEES!" and "Killing me won't bring back your goddamn honey!". Hell even the ending of the movie was funny somehow! I saw this at the cinema too and the audience were laughing as well! It's totally worth buying on DVD as its dirt cheap now.Ironically though the "Director's Cut" is supposed to make it more horror-like but it actually makes the movie even funnier! In conclusion its a 'classic' for the wrong reasons!,1
The Wicker Man,Snopjo,2 September 2006,Hilariously Awful,A phenomenal achievement in awfulness. It's actually hilariously awful.First off...Nicholas Cage must now have made it to the finals in the Over-Emoting Category in his acting class. Wearing new hair plugs and with a face that has been lifted so many times his pinned back ears seem to be straining to touch in the back he oozes not only a sick smarmiess but creates a "hero" character that you have no vested interest in.I don't know what it is with Neil Labute and female characters. He makes females out to be totally deviant and evil...and pays them back by having Cage punch several of them directly in the face and call them all "b****es" a few times too. I've enjoyed LaBute's early films and a few of his plays...but it's a strange fascination he has.I'd give this film a 2 out of 10 solely based on Ellen Burstyn's performance. By the time she finally makes her appearance (bravely soldiering through her scenes with her wig line clearly visible on her forehead) it seems like all hope may be lost. She deserves an Oscar right here and now for saying her lines with a straight face and when she appears wearing a white mumu and blue white and gold face paint booming about The Wicker Man you know that working with Scorcese and Friedkin really prepped her for this role dang well.This movie is so wrong-headed and cuckoo that is has to be seen to be believed.Highlights include: Nicholas Cage running away from a swarm of bees and then falling down a hill.Nicholas Cage stealing a bicycle and looking like Ms. Gulch from The Wizard of Oz riding around on it.Nicholas Cage running around the island kicking down doors looking for the missing girl.Leelee Sobieski PLUMMETING from a once-promising acting career in a "brawl" with Cage.Ellen Burstyn dancing around in a said while mumu.Nicholas Cage screaming "Who burned it? Who burned it? Who burned it?Who burned it?Who burned it?Who burned it?" for no reason.Nicholas Cage in a bear costume (I'm not kidding) running through the woods taking off the costume (but leaving the bear feet on) and then doing some karate moves to some villains.And you haven't lived until you have seen the final 15 minutes of the movie and its dreadful epilogue that looked like it was shot yesterday in your cousin's basement.Needless to say if you can make it through this film without laughing out loud then you deserve a medal. There was actually a point in the movie where I stopped snickering to wonder if maybe this wasn't an elaborate send-up of "hysteria" films...only to be reminded when Cage would scream/shout/whisper his dialogue that he really was taking himself quite seriously.I think this one is destined to be a cult film all over again...just because it's so dreadful.,2
The Wicker Man,blakndn,2 September 2006,Neil Labute should have his member slathered in honey and laced with bees (Spolier Alert)....,Everyone else who has commented negatively about this film have done excellent analysis as to why this film is so bloody awful. I wasn't going to comment but the film just bugs me so much and the writer/director in particular. So I must toss in my hat to join the naysayers.I saw the original "Wicker Man" and really loved the cornucopia of music sensuality paganism in a modern world and the clash of theological beliefs. This said I am not part of the crowd that thinks remakes of great movies shouldn't be done. For example I liked the original 1950's "Invasion of the Body Snatchers" but equally enjoyed the 1978 remake. Both films can stand on their own. Another example is "The Thing". The original as campy as it looks compared to today's standards has a lot to be proud of in the 1982 remake with Kurt Russell (my all time favorite horror movie). So that small minority of people who like "The Wicker Man" re-make can not accuse me of dissing this piece of crap just because it's a re-make.This film solidified for me Neil LaBute's sexism and misogynistic tendencies. It also made me wonder how executives wanting to make a serious thriller would green light a product that is so anti-female. There are too many scenes of Cage hitting women just because he's frustrated with them thwarting his investigation of a missing girl. would he react like this off the island in other cases where suspects aren't forthcoming? The original created a society in which men and women are equal participants in a Goddess based religion. The threat to the main character came from everyone male and female. There was no sexual hierarchy.The metaphor of bees drones etc was a bit heavy handed and convenient ("The drone must die!") especially when Cage's character has bee allergies. I kept wondering why the men on the island didn't fight back and use mere physicality to stop these women from treating them like grunts. These were not women with special supernatural powers and half of them seemed to be pregnant the other half old and fat and the rest girls and thin blonde waifs so if the men really wanted to escape they could do what most men do when they hate women. Physically dominate them. There didn't seem to be any guns or weapons beyond cutting tools to hold them if they were unhappy. But if they were content being drones why make them unable to speak? They could be used as a threat to Cage because they will defend the community. They are drones because Neil LaBute seems to believe that a society ran by women would leave men castrated. (That movie was made already. "The Stepford Wives" anyone?) Classic symptoms from men who are afraid of what may happen if women got their sh*t together and were truly equal citizens.The problem with the man-hating female society is that it makes uninteresting movie viewing and creates unintentional humor when Cage starts knocking women out. I belief LaBute should've left the society an egalitarian one kept the sexuality and uninhibited lasciviousness and pushed buttons of discomfort in regards to the children on that island. No one likes pedophiles or children to be sexually exploited. So how would a cop react if he saw lewd acts performed by adults with children around? There would be a logical mental leap that these children are abused thus an urgency created to save the missing child and get help for all the children. LaBute has said he created the fiancé and daughter story thread to give Cage's character an incentive to search. I don't think you need that. Any child abused will make an adult react to save them. The irony of course would be that the child Cage "saves" ultimately brings him death.The dialogue was contrived and campy. The whole third act was hilarious. The audience I saw it with guffawed (and later booed at the end). I just thought the movie started off wrong when the letter arrived written in the fancy handwriting and all the flashbacks cutting into to show how wounded Cage is. We don't need that. Just show him arriving on the island for an investigation of a missing child. Most of us in America have seen "Law & Order" and other cop procedurals. We come into the movie as if we are Cage's partner solving a mystery.So much potential...wasted. Neil LaBute stick to talking head pictures for people who enjoy your male angst-ridden plays and flicks of that sort. Stay with your own company of men. Leave the thrillers for people who understand thrillers. Here is your jar of honey. I'll watch that.,1
The Wicker Man,Horst_In_Translation,28 February 2016,I don't get the hate,Obviously the 10-year-old "The Wicker Man" starring Oscar winner Nicholas Cage is not a perfect film by any means but it looks a lot to me that this one has been voted down by pretentious retro intellectuals who think only because an original film was good it must mean automatically that a modern remake is bad. This one here is not. It was written and directed by Neil LaBute and runs for 100 minutes. The core story is a cop who arrives at a mysterious island obviously controlled by a community of cult-like women. He is in charge of finding out what happens to a missing girl and gets involved deeper and deeper in the mystery of the island.There were a couple parts that did not work entirely for me for example the part about him being the father to the girl and the masks in the end also looked a bit ridiculous but we have to keep in mind that the women on the island were all complete lunatics and did not see how ridiculous their actions were as if they were on some drug or something. Anyway the setting makes this one a fairly atmospheric watch and I thought most of the performances were pretty good. Cage always delivers basically especially when he plays cop characters. And I also liked the ending somehow. It goes against the traditional idea of how films have to end happily or on a positive note at least and this one here is the exact opposite. The epilogue with James Franco was not really necessary but oh well it's not bad enough to destroy the film either.As a whole do not be fooled by the rating here on IMDb or the film's reception by critics. This is far from a failure and has some really good moments occasionally even if there is a bad one here and there too. But all in all the good outweighs the bad and it is a decent watch if you are interested in mystery with a touch of supernatural and horror phenomenons. Or if you simply love Nicholas Cage. Thumbs up.,6
The Wicker Man,dbborroughs,16 September 2006,Misguided rethink of a classic horror story is destined to be forgotten and a major misstep in the careers of most involved,(Spoilers ahead)Neil LaBute continues his misogynistic ways with a retelling of Anthony Shaffer's classic horror story. The story of a policeman called to a remote island to investigate the disappearance of a little girl only to find that there is more afoot has been re-imagined as the tale of a lost soul trying to find redemption in a matriarchal community.The changes LaBute has made have destroyed most of the thematic elements and under currents that have made the original resonate still 30 years after it was first produced. In place of the originals battle between Christianity and paganism we have a nightmare of clever woman doing terrible things to a man who wants to get his soul back. LaBute has made one of the ultimate women are evil films of all time. Some have found the changes empowering I find them misogynistic since it clearly shows why he's made a career out of abusing women in his films: women will toy with you before destroying you. Its an ugly message.LaBute also made changes to the story that hobble it in the telling. One of the key changes is that the young girl maybe Nicholas Cages'. While this may give Nicholas Cage a reason to go it creates some rather odd exchanges between Cage and the mother of the missing girl. Very little of what passes between them makes any sense at all. Its a mess but then the restructuring of the society diminishes much of the tension because we are clearly somewhere else; its not as in the original film a place that could almost be anywhere until you peal off the layers. There IS a tension but that comes from clearly being in a place one shouldn't. Granted the change does create a bit more fear at times (since the monster is clearly in view and we are waiting for it to strike) but it never achieves the real horror of the original which explodes at the end as not only the mystery is stripped away but also the beliefs of the central character. (And lets not even talk about the need for the 6 month later ending) As if the script wasn't bad enough the film is also badly acted. Nicholas Cage at times gives a performance that ranks among his worst which is not an easy task since he is one of Hollywood best and worst actors of all time. Cage had me in tears of embarrassed laughter at times so much so that I can end any discussion of the rest of the cast here since as bad as some of them are they aren't that bad.On the plus side there are some striking images and some unease due no doubt to the stories inherent power and to LaBute's refashioning the story to put monster front and center.Pluses or no this film is a major misfire. Its a really bad bad (unfun) movie that should be avoided. Its more proof that some times people who know better do bad things not that anyone should have to go looking for more proof.,3
The Wicker Man,joemamaohio,17 July 2008,My Review,In "The Wicker Man" Nicolas Cage travels to a commune on a far-away island (even though its in Washington) to find a missing girl that his old fiancé told him was missing.Of course things aren't that simple and as he tries to find answers from the dominantly female population he's led in circles and is being fed false truths which all cumulates to a climactic ending which involves Nicolas Cage in a bear costume.Yea a bear costume."The Wicker Man" would be good if it wasn't for the fact that it sucked. The story made no sense and the repetitiveness of the silence of the women on the island was just irritating...maybe it was the director's way of connecting Cage's irritation to that of the audience but if that was the case all he succeeded in was making the audience totally ticked off especially at the end.,4
The Wicker Man,briancham1994,15 June 2020,UnBEARable,This is one of the funniest films I have ever seen. Essentially Nicolas Cage plays himself and invades an island to assault a bunch of cult members and then scream about bees.,4
