The Human Centipede 2 (Full Sequence),wolverinejmc,27 October 2011,Watching a crime scene,Human Centipede 2 is like watching a crime scene. Besides our nasty degenerate villain in Martin there is no character development at all. What is on the screen is just violent act after violent act culminating in a slightly open ending. I was expecting to see some really horrible acts of violence against bodies and that's exactly what I got. I didn't enjoy it one bit. However I cannot deny the effect it had upon me. I had to watch the Simpsons for an hour following this film so I could feel normal again. Physically this is the most disturbing film I've seen. I have seen worse in extreme cinema when you are actually invested in the characters but that is impossible here. This movie is not for the squeamish at all in fact a scene or two forced me to turn away and gag slightly. It sucks to admit that as I consider myself a seasoned genre fan but yeah certain parts were really freaking gross. Was there any tension? Well the first one elicited a few genuine scares but here the fear is for what your eyes are going to be subjected to next. Watch at your own risk.,5
The Human Centipede 2 (Full Sequence),Chris_Pandolfi,29 November 2011,Why Do They Make Movies Like This?,I detested "The Human Centipede 2 (Full Sequence)" and yet I'm well aware that it was made with me in mind – me and anyone else who thought that last year's "The Human Centipede (First Sequence)" was a disgusting pointless morally bankrupt pile of garbage. Writer/director Tom Six made a promise as he was promoting the original film namely that the sequel would "go full force in graphic details making part 1 look like My Little Pony"; by living up to that promise in spades he has given his harshest critics the cinematic equivalent of the one-fingered salute. If you're reading this Mr. Six let me be the first to congratulate you on telling me off with such incredible flair. Let me also reassure you that you're absolutely right about people like me. We're not persuaded by the "artistry" or "entertainment value" of torture porn.I've just been made aware that Six is currently working on a third chapter which according to an interview with Empire.com he promises will "make the last one look like a Disney film." That's a pretty tall order considering the imagery he subjects us to in this film including (but not limited to) a man masturbating with sandpaper people defecating into other people's mouths and the head of a just-born fetus being crushed under the gas pedal of a car. Incidentally are these supposed to be symbolic of something? I'm asking this because I tend to overlook symbolism when I'm actively trying to keep myself from vomiting in sheer revulsion. Earlier this year when I had to endure the wretched "A Serbian Film" a reader happily explained to me the meaning behind a newborn baby being raped which I admit went completely over my head. I expect that same person will tell me how I've failed to see the genius in "The Human Centipede 2."What a sick depraved repugnant movie this is. Why do producers writers and directors believe such films need to be made? How is it that they actually gain a following? I'm greatly disturbed by the fact that there's a demand for them. We don't need movies like this in our lives not even for the purposes of entertainment – which is a funny word to use because it's inconceivable to me how anyone could possibly find this kind of trash entertaining. If stories like this appeal to you if you get some kind of dizzy thrill at the sight of degrading pointless exploitation you inhabit a world I officially want no part of. There are enough screwed up people in the world without their sadistic perversions being gleefully celebrated in a movie theater.The film is not a sequel in the strictest sense. Six adopts a metafictional approach telling the story of a British security guard obsessed with the first "Human Centipede" film. His name is Martin (Laurence R. Harvey). He's short overweight asthmatic and by all accounts mentally ill. Apart from some groans and a good deal of maniacal laughter he says not a single word throughout the entire film. He lives with his mother (Vivien Bridson) who verbally berates him at every available opportunity. She blames him for putting her husband in prison apparently in denial or completely unmindful of the fact that he sexually abused Martin on a regular basis. A psychologist (Bill Hutchens) has frequent sessions with Martin in his living room. Are we supposed to find it funny that this doctor is a pervert who lusts after Martin?When he's not at home he's either brooding in his parking garage toll booth or targeting victims. You see he wants make his own human centipede only he wants to outdo the Dr. Heiter character and increase the chain from three people to twelve. And so he beats unsuspecting people senseless with a crowbar (how they survive this is anyone's guess) piles them in a van drives them to a secluded (and conveniently abandoned) warehouse and leaves them to lie naked in filth and darkness. He lures in Ashlynn Yennie who played Jenny in "The Human Centipede" by pretending to be Quentin Tarantino's casting agent. We eventually have to endure Martin surgically joining his victims mouth to anus which in this case involves such needlessly graphic imagery as knives slicing through flesh and vital parts being attached with a staple gun. We then have to bear witness to an ambiguous ending that cheats.Six's cinematographer David Meadows photographs all this in black and white arguably in the least artistic way possible. Did anyone making this movie honestly believe that by employing a cinematic device as dreamlike as black and white the material would somehow be elevated? No amount of technique would have made this movie work. Like the film that preceded it it shouldn't have been made at all. "The Human Centipede 2 (Full Sequence)" is not only one of the year's worst films nor is it merely one of the worst movies ever made; it represents all that we as human beings should strive to evolve against. Under no circumstances should we be amused by cruelty suffering and exploitation. The sooner we realize this the sooner we can make that next step.-- Chris Pandolfi (www.atatheaternearyou.net),1
The Human Centipede 2 (Full Sequence),Coventry,18 July 2012,Martin has a dream ... that one day ... the world will be a giant human centipede!,Actually I should be grateful to Tom Six� Thanks to him and his demented movie I finally know where to draw my own personal line when it comes to tolerating cinematic smut! The ideal way to describe this movie is to simply write down as many synonyms for the word "repulsive" you can think of! So here goes: "The Human Centipede II: Full sequence" is revolting sickening disgusting loathsome degrading nauseating appalling despicable vile heinous nefarious and absolutely positively depraved! The first film already caused quite a bit of commotion and controversy because of its plot and a handful of shocking sequences but I swear the original looks like a politically correct Disney family flick compared to the totally messed up sequel! Not only does the concept of creating a human centipede gets enlarged and illustrated a lot more graphically also the characters and sub plots are much more perverted and insane than in "First Sequence". I realize this will sound as a recommendation to all the sick puppies amongst you but this is truly one of the most repugnant movies ever made. In spite of the emphasis more than obviously lying on gore and shock-factor I nevertheless have to admit that the film features a number of ingenious story lines and creative twists. The whole basic plot and set up for example is surprisingly inventive. The sequel considers the original film in fact as a purely fictional "film" and thus the events and unorthodox medical experiments of Dr. Heiter were never real. However the protagonist of part two – the obese and mentally handicapped midget named Martin – is addicted to watching this crazy movie and becomes obsessed with the idea of creating his very own (and bigger) human centipede. I can't deny that I find this idea intriguing as a starting point for a sequel. Writer/director Tom Six also generates a suitably grim and disturbing surrounding around pivot character Martin. He lives with his mother but she hates Martin with a passion. Why? Because her husband is in prison as Martin couldn't keep his pedophilic nightly visits secret. Martin works as a concierge in an underground parking lot where he captures his victims but also bashes people's heads in with a crowbar and masturbates using sandpaper! He brings his centipede victims - all 12 of them including a very pregnant woman – to a raunchy hangar and accomplishes his dream which leads to many gross tableaux I assure you. Multiple images that I can't even begin to describe truly give a whole new meaning to the words tasteless and immoral. When approaching the grand finale you may expect scenes featuring excrement rape miscarriage and gratuitous torture/mutilation. Don't even consider watching "The Human Centipede II" – not even out of curiosity – if you have a bit of virtue left inside yourself. Laurence R. Harvey gives away a peculiar and remarkable performance as Martin. He is so convincingly perverted and deviant that I sincerely doubt if he's even a normal person in real life... I don't want to know him at least that's for sure. The film is entirely shot in black and white which perhaps makes the gruesomeness and on screen filth slightly more digestible but primarily it increases the sober and grim atmosphere of it all. Other elements that contribute to this are the minimal use of dialogs and/or soundtrack and the nihilistic narrative tone. It maybe feels weird to admit but technically speaking "The Human Centipede II" is actually a competent effort. Apparently there's already a third installment in the making but I might just spare myself the hideous aftertaste in my mouth and stomach.,6
The Human Centipede 2 (Full Sequence),bayareamike,22 April 2012,Sick disturbing & unsettling.,First of all I think Tom Six the director of this film is apparently not a mentally well individual and probably needs help. Please don't get me wrong I can enjoy a good horror movie. Devil's Rejects A Serbian Film Saw Hostel etc. Those kind of movies are a cakewalk (except maybe 'A Serbian Film') compared to this. As hard as I try I can't even think of a film to compare this to. I have seen the first Human Centipede and was appalled. When Human Centipede 2 came out I suppose I was curious and wanted to see how Tom could utilize feces for his next 'masterpiece'.This is a film has very little plot. It is all about feces. Do we really need a movie with feces involved? I know people have fetishes and Tom Six seems to have a feces fetish (which is fine I suppose) but why share it with the world? Sure I could sit here and bash the director Tom Six but after researching his background he seems to get a thrill over peoples reaction to this kind of subject matter and he isn't afraid to say so. This also confirms his his need of therapy or confinement to a mental institution. If you enjoy watching people forced to consume feces this film may be right up your alley.So I ask myself...... Who would finance this kind of vile? What kind of company would distribute this? Who would pull out their checkbook and pay for movie props actors camera equipment and rent movie locations for this kind of film? Who is in charge of making the fake fecal matter in the film? That must be a rewarding job. What kind of actor would look at this script and say "Oh yes - I really wan't to be a star in this movie."? How can you look at yourself in the mirror after being an actor/actress in this movie? I have more respect for actors in porno movies.Think carefully before watching this movie. Because once you watch it you can't unwatch it.,1
The Human Centipede 2 (Full Sequence),jboothmillard,22 January 2012,The Human Centipede II (Full Sequence),It's not often that you get the original film featured as part of the sequel i.e. the film within the sequel to the film but this is what happened with this one to the very controversial original and I heard that this one was much worse (taste wise) it sounded worth watching from director Tom Six who apparently worked on the Dutch version of Big Brother where it first began. Basically Martin Lomax (Laurence R. Harvey) is a mentally disturbed lonely weirdo who lives with his Mother (Vivien Bridson) he loves and is obsessed by the cult horror film The Human Centipede (First Sequence). Martin works as a security guard during the night shift in a grim underground parking complex to escape his dreary and almost worthless existence he watches the film with delight he even masturbates to it and also has his own pet centipede. Martin fetishes to have the same surgical skill as the film's leading antagonist Dr. Josef Heiter (Dieter Laser) with his knowledge for the human gastrointestinal system of course Martin has no surgical knowledge whatsoever. But his obsession for the film has become increasingly extreme to the point where he dreams of making his own Human Centipede but not with three people like what he has seen but with more. Martin's mother sees this obsession in anger she rips up his scrapbook full of photos and articles about the film in retaliation Martin smashes her skull in until dead he puts the corpse in a chair and props it up at the dinner table. So Martin starts finding and kidnapping random people to start the process of his sick dream stripping them all of their clothing tying them up and gagging them with duct tape he hopes to create "the full sequence" of twelve people. Martin even manages to get his hands on one of the actors who became part of the film Centipede the leading actress Ashlynn Yennie after pretending to be Quentin Tarantino's casting agent she is to become his head of his creation. In an abandoned warehouse Martin begins his building of his own Human Centipede but instead of using surgical tools and medical expertise he is having to rely on more duct tape dodgy DIY tool skills and hideous mutilation like knocking teeth out with a hammer. One of the twelve victims dies in agony and the other a pregnant woman seems to be dead but is actually unconscious so Martin has to settle with ten people taped together with their mouths stapled to the previous person's anus and the leg tendons cut to stop them getting away. Of course part of the process of having the victims connected is having the head eat passing excrement through from person to person but to speed this process he gives each victim a sip of laxative causing them each to have their bowels explode. After seeing a victim or two die from choking on excrement or their own vomit the pregnant woman wakes up and runs out of the warehouse to the nearest car in the process of escaping she gives birth to her child but it dies when she crushes it's skull she drives away. Martin is extremely angry and the Human Centipede have managed to split in half but the psychopath takes a gun and shoots each victim in the head until Miss Yennie is the last left alive. But she manages to grab hold of the funnel Martin used to force feed her she shoves it up his anus and throws his pet centipede down it and he is screaming in agony. The film ends however with Martin waking up while watching his favourite film leaving you to question whether the events seen were real just his imagination or him dreaming. Also starring Bill Hutchens as Dr. Sebring Maddi Black as Candy Kandace Caine as Karrie Dominic Borrelli as Paul Lucas Hansen as Ian Lee Nicholas Harris as Dick Dan Burman as Greg Daniel Jude Gennis as Tim Georgia Goodrick as Valerie Emma Lock as Kim Katherine Templar as Rachel and Peter Blankenstein as Alan. Harvey gives a most exceptional performance as the non- speaking obese severely disgusting character with the sick fantasy to create something he has seen in his treasured film it almost mirrors concerns parents have about life imitating fiction. This sequel is certainly much more violent than the first film so much so that it was banned entirely by the BBFC (British Board of Film Classifiction) who refused to touch it as it was "revolting" but eventually it was released as an 18 certificate with thirty two compulsory cuts totalling two minutes and thirty seven seconds. From what I have read this material is very extreme and was right to be taken out including Martin masturbating with sandpaper around his penis and Martin with barbed wire wrapped around his penis violently raping a woman you could almost tell where these moments were meant to happen from what was left in it is still a highly violent and a most interesting to watch horror. Good!,6
The Human Centipede 2 (Full Sequence),Simon_Says_Movies,15 February 2012,Strips Away the Twisted Charm of the Original,In my review of the first umm segment of Tom Six's "Human Centipede" series I stated that it was a very difficult film to review as it's inherently meant to alienate and disgust – so how to judge it evenly? I had no such problem with The Human Centipede II (Full Sequence) as not only does it retain (and amplify) the revoltingness of the original but strips away any twisted charm tension good performances and frequent tongue-in-cheek execution that made "First Sequence" better than it had any right to be.Many haphazardly brand films they dislike as "worthless" but some movies are genuinely without any merit. "Full Sequence" is such a rarity. This sequel is artless humorless boring without style (well it is in black and white so it must be high-class) purpose or cleverness and is generally off-putting but never haunting or lasting. The only purpose seems to be in Tom Six's mind in that he wanted to one-up himself. He succeeded in scope but failed in every other aspect.The opening scene reveals to us that the entire first movie was just that: a cinematic endeavour. Cut to Martin a lonely and infinitely unhinged parking lot attendant who becomes obsessed with the film and further obsesses over creating his own humanoid monstrosity with twelve victims – an addition of nine. You see these unlucky folks will be surgically attached mouth to anus thereby connecting the gastric system giving birth to a human centipede. His plan involves shooting his targets in the leg bludgeoning them with a crowbar tossing them into the back of his van and driving them to a grungy warehouse to await their fate. This drawn-out portion of the movie slogs along as Martin collects his subjects in a rythmic monotonous pace with no sense of impending dread or sympathy for his victims. The camera seemingly just rolls for the hell of it.While the original benefited from a deliciously deranged performance from Dieter Laser as the mad doctor Laurence B. Harvey's Martin never speaks is grotesque in his appearance and mannerisms and has no interesting motives or backstory except that he was apparently sexually abused by his father. In fact the entire second half of the film contains no dialogue as by this point all the characters' mouths are otherwise full (I apologize for that imagery). When the poop did flow I was both bored and otherwise desensitized from the previous grotesque events and simply wanted the experience to end. A backhanded aim of Six may have been to craft a movie that nobody could sit through and he did succeed but not in the way he likely intended. I felt my time was being wasted not that I was being shocked to new extremes.The only people I could recommend this movie to would be those like myself who enjoyed the first and are curious about the follow-up but I would have to tack on the disclaimer that they will be disappointed and viewing could even diminish the bizarre appeal of the first. But I suppose if you truly love fecal matter back-room surgery blood torture infanticide profanity child abuse and (of course) centipedes you will be in cinematic bliss. Six already plans to finish his vision with a third movie entitled Human Centipede (Final Sequence) and after fulfilling the worries I had that he would one-up himself to a fault with this movie I quiver at the load of dung he has in store for us to cap the trilogy.Read my review of the original: http://www.imdb.com/title/tt1467304/reviews-40,1
The Human Centipede 2 (Full Sequence),skipoc,11 October 2015,vile revolting and pointless,without a doubt the most tasteless and disgusting film I've ever seen. The first movie at least a semblance of a plot but this crude and nasty "movie" has no plot-it's nothing short of torture porn. The first 30 minutes or so passable but the last third was just revolting. There is no motive other than to show people suffering and being mutilated. I couldn't even watch most of it. Why are people so desperate to work in a movie that they would subject themselves to such degradation? As an actor there i no amount of money or notoriety that would convince me to do something so horrendous. It's just sick for the sake of being sick. It doesn't even make sense. Martin works in a parking garage to find victims yet no one ever notices his actions or him coming to work covered in blood. Sick vile and disgusting. The first movie is Citizen Kane compared to this garbage. Tom Six should NEVER be allowed near a computer a camera or any amount of cash EVER. I would give this minus 10 if allowed.,1
The Human Centipede 2 (Full Sequence),oOgiandujaOo_and_Eddy_Merckx,6 November 2011,Surprisingly it works.,What this singular piece of nastiness has going for it in the main is brevity no film of 88 minutes really ever outstays its welcome. Tom Six feels like a guy who knows what buttons to push he introduces a minor character who is a kind of cartoon of the UK doctor / serial killer Harold Shipman whose educated imperturbable casually degraded outlook is like acid in your face. There's also an incredibly disturbing line that evokes the main character's messed up childhood "Crying will only make daddy's willy harder".Martin is an obese middle-aged nighttime security guard who lives with his mother who blames him for having his father sent to jail (i.e. being there for him to abuse). He is fantastically ugly a stigma which in Western society leads to ostracisation. Martin is looking at these cards he's been dealt which ain't great and decides it's time for the proverbial to hit the fan which is to say he'd like to try and re-enact his favourite DVD The Human Centipede.The British censors (and no doubt those of other countries will follow suit) have spared us a scene of a mother brutally killing her own newborn by mistake of a coil of barbed wire being used as a marital aid and like their forebears the censors of Witchfinder General had to ponder on just how many bludgeons with an axe or in this case teeth removed by hammer blow are acceptable and decided on a lower number than the director.The film is not quite squared away in terms of plot plausibility but does what it can.I actually found the movie implausibly human what Martin ends up doing seems on the face of it entirely logical (which is not to say that everyone who is abused becomes an abuser). The film seems to have a message that people are marginalised and forgotten about at our peril that society is judged by the people who behave the worst.Two of Six's gambles that pay off extremely well are shooting the movie in black and white and having Martin remain dialogue-less throughout. His implacability and remorselessness say all that needs to be said about someone who has been kept as an animal and poked one too many times. The black and white shooting literally portrays a miserable world drained of any colour.,2
The Human Centipede 2 (Full Sequence),HumanoidOfFlesh,1 December 2011,Disgusting and amoral.,"The Human Centipede II" by Tom Six delivers repulsive imagery in spades.The main character in this modern sickie is Martinfat and sweating slob who works as a night-shift car park attendant.He is obsessed with the first "Human Centipede" and ghastly works of Dr.Heitner.His dream is about creating his own twelve-strong human centipede.Victims are strikingly easy to find and capture..."The Human Centipede II" is more unsettling and gory than its infamous predecessor.The scenes of mutilationurinationserial defecationligament-cuttingtooth-pullingvomiting and rape manage to offend.The main performance of Lawrence R Harvey is gloriously weird.So if you are into graphic torture porn and extreme body horror "The Human Centipede II" is a must-see.8 defecations out of 10.,8
The Human Centipede 2 (Full Sequence),dbborroughs,14 October 2011,Vast improvement over the first film is down right unnerving at times,Vile disgusting and just plain wrong sequel to one of the stupidest films ever made is a brilliant reinvention of the premise.The film has a worm like attendant in a parking garage who love Human Centipede deciding to make his own version for real and simply kidnapping and killing people in order to do so.Its a minimalist plot that shouldn't work but does thanks to great photography a creepy lead character and several set pieces that are just unpleasantly wrong.This film is wrong on so many levels it somehow pulls enough of itself together to actually become an endurance test that is almost worth subjecting yourself to. Far worse than you can imagine thanks to the black and white photography this is almost as unpleasant a film as I've seen in a while.Honestly the film works best in the set pieces the various murders and even the final climatic sequence just get under your skin with there own dreamlike logic. There is also something about the perfection of the final image which is completely unexpected.That th film worked shocked me and it gets a few extra points for that. Is it something I recommend? No clue. I think the nastiness will turn off 90% of the people looking at it on the other hand the whole meta experience will work for those who like unpleasant things and vile human behavior.You're on your own,7
